Commodity,Variety_Count,Varieties
Absinthe,1,chirayta
Ajwan,3,"Ajwan, Celery-Organic, Other"
Alasande Gram,2,"Alasande Gram, Other"
Almond (Badam),2,"Almond (Badam), Other"
Alsandikai,2,"Alsandikai, Other"
Amaranthus,4,"Amaranth Greens-Organic, Amaranthus, Cholai Bhaji, Other"
Ambada Seed,2,"Ambada Seed, Other"
Ambady/Mesta,2,"Ambadi/Mesta, Ambady/Mesta-Organic"
Ambady/Mesta/Patson,2,"Ambadi/Mesta, Ambady/Mesta-Organic"
Amla (Nelli Kai),2,"Amla, Other"
Amphophalus,2,"Amphophalus, Other"
Amranthas Red,3,"Chawli Lal, Organic, Other"
Antawala,2,"Antawala, Other"
Anthorium,2,"Anthorium, Other"
Apple,24,"American, Apple, Condition, Creamjon, Delicious, Fanny, French, Golden, Hajratbali, Kalidevi, Kasmir/Shimla - II, Kesri, Kullu Delicious, Kullu Royal Delicious, Maharaji, Other, Radha Krishni, Red Gold, Red June, Rich Red, Rizakwadi, Royal Delicious, Royal Mishri, Simla"
Apricot (Jardalu/Khumani),2,"Apricot (Jardalu/Khumani), Other"
Arecanut (Betelnut/Supari),27,"Bette, Bilegotu, Chali, Chippu, Churu, Cochin, Cqca, EDI, Factory, Gorabalu, Kempugotu, Kole, Malbar, New Variety, Other, Pudi, Pylone, Rashi, Raw, Red, Ripe, Saraku, Sippegotu, Supari, Tattibettee, White, api"
Arhar (Tur/Red Gram)(Whole),28,"777 New Ind, 777 New Vasad Imp, AL-201, Angoor New, Angur Imp, Arhar (Whole), Arhar Dal (Tur), Big (Bhopal) (Split), Desi (Whole), F.A.Q. (Whole), Gujarat Shivling Imp, Gulbarga Medium, Gulbarga Phatka New, Hybrid, Local, Malka, Masuri (W-S), Medium, Ordinary (Split), Other, PPII-4, Phatka (Medium), Red, Shivling Imp New, Shivling New Ind, Small (Whole), Tur/Arhar-Organic, U.P. (Split)"
Arhar Dal (Tur Dal),7,"777 New Ind, Arhar Dal (Tur), Gulbarga Phatka New, Medium, Ordinary (Split), Other, U.P. (Split)"
Asalia,3,"Asalia, Asalia-Organic, Other"
Ashgourd,3,"Ashgourd, Gouard, Other"
Ashwagandha,2,"Ashwagandha, Ashwagandha-Organic"
Asparagus,1,Asparagus
Astera,2,"Astera, Other"
Avare Dal,5,"Avare (W-S), Avare (Whole), Bidar, Madan Sakkare, Other"
BOP,1,Other
Bael,2,"Bell, Other"
Bajra (Pearl Millet/Cumbu),16,"Bold, Deshi, Hybrid, Hybrid CH-1, Hybrid-2, Jawari, Local, MH-179, Millet, Millet-Organic, Other, PCB-138, PHB-47, Pattu Bajra (Sweet), Perry, Small"
Balekai,1,Other
Bamboo,2,"Bamboo, Other"
Banana,26,"Amruthapani, Banana - Ripe, Banana-Organic, Besrai, Bhushavali (Pacha), Chakkarakeli (Red), Chakkarakeli (White), Champa, Desi (Bontha), Elakki Bale, Harichal, Karpura, Khandesh, Medium, Nauti Bale, Nendra Bale, Ordinary Big, Other, Pachha Bale, Palayamthodan, Poovan, Rasa Bale, Rasakathai, Red Banana, Robusta, Tellachekkarakeli"
Banana - Green,2,"Banana - Green, Other"
Barley (Jau),11,"Barley, Barley-Organic, Dara, Deshi, Hybrid, Local, Other, P1-426, PL-171, PL-172, PL-419"
Bay leaf (Tejpatta),1,Other
Beans,5,"Beans (Whole), Hybrid, Local, Other, Sem /Semi"
Beaten Rice,5,"Beaten Rice, Bhagyalakshmi, Medium Fine, Other, Paper"
Beetroot,3,"Beetroot, Organic, Other"
Bengal Gram (Gram)(Whole),40,"999, Average (Whole), Bengal Gram (Split), Bengal Gram Dal, Bidar, Bold, C-235, CPF-2, Chana Gulabi, Chana Kaala, Chana Kabuli, Chana Kanta, Chana mausami, Chapa, Desi (F.A.Q. Split), Desi (Whole), GL-769, Gadag, Good (whole), Gram, Gulabi, Gulbarga Imp, II Sort (Split), Jawari/Local, Kabal (Split), Kabul, Kabul Extra Bold, Kabul Small, Kanta, L-550, Medium, Ordinary (Split), Organic, Other, PBC-1, PDC-3, Small (Split), Superior (Whole), White (Whole), White (whole)"
Bengal Gram Dal (Chana Dal),10,"100Kg, Bengal Gram (Split), Bengal Gram Dal, Desi (F.A.Q. Split), Kabal (Split), Kota, Medium, Ordinary (Split), Other, Small (Split)"
Ber (Zizyphus/Borehannu),2,"Ber (Zizyphus), Other"
Betal Leaves,4,"Ambadi, Local, Mysore, Other"
Betelnuts,1,Other
Bhindi (Ladies Finger),2,"Bhindi, Other"
Bhui Amlaya,1,Bhuai Amlai
Big Gram,2,"Big Gram, Other"
Binoula,2,"Binoula, Other"
Bitter gourd,4,"Bitter Gourd, Bitter Gourd-Organic, Kareli, Other"
Black Gram (Urd Beans)(Whole),24,"Black Gram (Whole), Black Gram Dal, D. Horse Indoor, Desi, FQ (Burma), Fine, Hanuman A1, Hanuman Guntur, Hybrid, Imported, Jalgaon, Khamgaon (Akola), Local, Medium, Mogan Best, Mogan Medium, Organic, Other, Rajkot T-9, SQ (Burma), Stdvar, Urda/Urd, Urid Gola Deer Double, Urid Gola G. Deer"
Black Gram Dal (Urd Dal),5,"Black Gram Dal, Fine, Local, Medium, Other"
Black pepper,6,"Garbled, Malabar, Office, Other, Thekken, Ungrabled"
Borehannu,2,"Borehannu, Other"
Bottle gourd,3,"Bottle Gourd, Bottle gourd-Organic, Other"
Brahmi,1,Brahmi
Bran,3,"Bran, Moong Chunni, Other"
Brinjal,11,"Arkasheela Mattigulla, Brinjal, Eggplant-Organic, Irangeri, Kengeri, Malakura, Mattigulla, Other, Round, Round/Long, West Coast Round"
Broken Rice,5,"1st Raw, 2nd Steam, Broken Rice, Fine, Other"
Broomstick (Flower Broom),2,"Broomstick (Flower Broom), Other"
Bull,2,"Bull, Other"
Bullar,3,"Bullar-S, Bullar-W, Other"
Bunch Beans,2,"Bunch Beans, Other"
Butter,2,"Butter, Other"
Cabbage,3,"Cabbage, Organic, Other"
Calendula,1,Calendula
Calf,2,"Calf, Other"
Cane,2,"Cane, Other"
Capsicum,2,"Capsicum, Other"
Cardamom,1,Other
Cardamoms,12,"Big, Green, Green 6.5 mm, Green 7 mm, Green 7.5 mm, Green 8 mm, Green Medium, Large, Mix, Other, Panbar, Small"
Carnation,2,"Cornation, Other"
Carrot,3,"Carrot, Other, Pusakesar"
Cashew Kernnel,3,"Cashew Kernnel, Cashewnut, Other"
Cashewnuts,9,"320 Counts, American (Raw) without Shell, J.H., Jambu, Kernel, L.W.P., Local (Raw), Other, S.W."
Castor Oil,2,"Castor Oil, Other"
Castor Seed,4,"Caster, Castor seed, Organic, Other"
Cauliflower,9,"African Sarson, Cauliflower, GSL-1, GSL-2, Local, Other, PC-5, PGSH-51, Ranchi"
Chakotha,2,"Chakootha, Other"
Chapparad Avare,2,"Chapparada Avarekai, Other"
Chennangi (Whole),2,"Chennangi (W), Other"
Chennangi Dal,5,"Chennangi Dal, Gram Chapa, Gram Kata, Local/Jawari, Other"
Cherry,2,"Cherry, Other"
Chikoos (Sapota),2,"Other, Sapota"
Chili Red,9,"Bold, Degi Mirchi, Dry, Dry Sup, Geeli Mirchi, Grade II, Other, Parry, Red"
